epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5261,1.64126,2.5925,1.55784,0.52759,0.3012,0.33406,0.16457,1.67108,2.68693,1.71157,0.000660969,0.000660969,0.000660969
2,45.8269,1.62301,2.13622,1.51153,0.4537,0.41818,0.38917,0.1646,1.71663,2.38521,1.72634,0.00130135,0.00130135,0.00130135
3,58.3158,1.61377,1.99303,1.53612,0.56038,0.42489,0.47756,0.23901,1.71079,2.14217,1.8194,0.00191533,0.00191533,0.00191533
4,71.4411,1.6327,1.98297,1.55278,0.54973,0.51515,0.51987,0.25413,1.70918,2.81806,1.74329,0.0018812,0.0018812,0.0018812
5,84.2379,1.61091,1.80977,1.52458,0.60307,0.40909,0.48926,0.2353,1.63039,1.95689,1.69072,0.0018416,0.0018416,0.0018416
6,96.8691,1.62366,1.77041,1.50646,0.66687,0.54545,0.58715,0.29674,1.59259,1.72738,1.55497,0.001802,0.001802,0.001802
7,109.5,1.58264,1.73404,1.51506,0.64236,0.52795,0.58614,0.3229,1.5157,1.59293,1.57285,0.0017624,0.0017624,0.0017624
8,122.21,1.51934,1.62329,1.47572,0.66479,0.54545,0.61034,0.31469,1.52683,1.6257,1.52528,0.0017228,0.0017228,0.0017228
9,134.349,1.54391,1.64367,1.49201,0.71423,0.53333,0.62213,0.33085,1.53219,1.59687,1.57211,0.0016832,0.0016832,0.0016832
10,147.105,1.49233,1.6016,1.43643,0.68416,0.59394,0.65576,0.35743,1.50272,1.47862,1.51036,0.0016436,0.0016436,0.0016436
11,159.135,1.45236,1.48853,1.44318,0.66604,0.55602,0.61787,0.32436,1.5057,1.64699,1.55479,0.001604,0.001604,0.001604
12,171.399,1.45883,1.457,1.4184,0.78627,0.49394,0.63421,0.36917,1.46964,1.49156,1.50425,0.0015644,0.0015644,0.0015644
13,183.736,1.45097,1.44791,1.41086,0.70593,0.57468,0.67889,0.37825,1.42413,1.49247,1.44725,0.0015248,0.0015248,0.0015248
14,196.189,1.42694,1.45166,1.40393,0.71575,0.61818,0.69462,0.41919,1.39266,1.33048,1.42796,0.0014852,0.0014852,0.0014852
15,208.718,1.42454,1.39889,1.38144,0.73296,0.58182,0.66647,0.37854,1.46764,1.39058,1.51956,0.0014456,0.0014456,0.0014456
16,221.965,1.39156,1.37953,1.37732,0.7884,0.57879,0.71775,0.41603,1.39663,1.28891,1.44658,0.001406,0.001406,0.001406
17,234.648,1.36913,1.32928,1.35345,0.75529,0.64242,0.72109,0.42846,1.43096,1.29598,1.44875,0.0013664,0.0013664,0.0013664
18,247.082,1.40678,1.31009,1.34371,0.72579,0.63939,0.71693,0.4163,1.41263,1.27975,1.43035,0.0013268,0.0013268,0.0013268
19,259.441,1.36651,1.27063,1.36431,0.77295,0.60865,0.7208,0.41933,1.41439,1.27621,1.44161,0.0012872,0.0012872,0.0012872
20,272.081,1.33732,1.26797,1.33432,0.75144,0.63636,0.70902,0.42377,1.37908,1.23691,1.41862,0.0012476,0.0012476,0.0012476
21,284.912,1.3221,1.26914,1.33786,0.70413,0.60606,0.70299,0.41582,1.3979,1.39124,1.45495,0.001208,0.001208,0.001208
22,297.803,1.31232,1.24203,1.32904,0.70308,0.66014,0.71609,0.43107,1.38324,1.21889,1.41699,0.0011684,0.0011684,0.0011684
23,310.592,1.30131,1.18967,1.31558,0.77112,0.66359,0.74685,0.45623,1.35312,1.17209,1.40746,0.0011288,0.0011288,0.0011288
24,323.037,1.27509,1.17199,1.3014,0.79377,0.62982,0.74182,0.45003,1.35621,1.2062,1.41418,0.0010892,0.0010892,0.0010892
25,335.784,1.29839,1.17914,1.31591,0.7946,0.68485,0.76089,0.46297,1.38147,1.15206,1.40926,0.0010496,0.0010496,0.0010496
26,348.533,1.27628,1.19339,1.28671,0.77995,0.64848,0.75388,0.45269,1.35918,1.15383,1.38606,0.00101,0.00101,0.00101
27,361.028,1.25242,1.13795,1.27428,0.78406,0.61212,0.72013,0.44224,1.34458,1.17794,1.39297,0.0009704,0.0009704,0.0009704
28,373.864,1.24853,1.08588,1.25776,0.73355,0.69091,0.75687,0.45075,1.36629,1.17135,1.395,0.0009308,0.0009308,0.0009308
29,386.257,1.2428,1.10828,1.26231,0.81255,0.61738,0.76417,0.47756,1.31942,1.12009,1.37875,0.0008912,0.0008912,0.0008912
30,398.484,1.20164,1.08879,1.2457,0.80008,0.62424,0.76169,0.47185,1.33466,1.11512,1.39587,0.0008516,0.0008516,0.0008516
31,411.216,1.23354,1.07661,1.28207,0.74463,0.67879,0.74495,0.45997,1.33345,1.16595,1.40306,0.000812,0.000812,0.000812
32,423.738,1.20178,1.06389,1.24531,0.70825,0.67679,0.73859,0.46055,1.34734,1.14169,1.39878,0.0007724,0.0007724,0.0007724
33,436.551,1.21494,1.01713,1.25503,0.76603,0.67879,0.7683,0.4862,1.29722,1.09209,1.35752,0.0007328,0.0007328,0.0007328
34,449.503,1.1756,1.01371,1.22984,0.81925,0.64554,0.75269,0.46847,1.33225,1.12453,1.38692,0.0006932,0.0006932,0.0006932
35,461.673,1.17,0.99959,1.22708,0.82063,0.63939,0.76802,0.48238,1.30881,1.08416,1.3718,0.0006536,0.0006536,0.0006536
36,473.943,1.16881,0.99947,1.24888,0.76173,0.64848,0.75753,0.45858,1.32654,1.13946,1.40335,0.000614,0.000614,0.000614
37,486.494,1.16345,0.9888,1.20026,0.76968,0.67576,0.76638,0.4821,1.32274,1.09477,1.38504,0.0005744,0.0005744,0.0005744
38,499.595,1.14234,0.9323,1.22002,0.82958,0.6303,0.76894,0.48567,1.30325,1.08148,1.36415,0.0005348,0.0005348,0.0005348
39,512.253,1.13348,0.92564,1.19456,0.77887,0.6697,0.76113,0.48669,1.2965,1.06176,1.36822,0.0004952,0.0004952,0.0004952
40,524.954,1.13757,0.96237,1.1928,0.85238,0.64242,0.77918,0.48528,1.34301,1.07751,1.41552,0.0004556,0.0004556,0.0004556
41,560.046,1.06519,0.88584,1.15644,0.78242,0.67561,0.77206,0.48818,1.31094,1.10053,1.38565,0.000416,0.000416,0.000416
42,572.336,1.07351,0.8692,1.16417,0.79544,0.6697,0.77336,0.48556,1.30255,1.07943,1.359,0.0003764,0.0003764,0.0003764
43,584.686,1.04685,0.8417,1.14453,0.77817,0.68182,0.77691,0.49832,1.26163,1.06071,1.33512,0.0003368,0.0003368,0.0003368
44,597.196,1.03118,0.83936,1.14205,0.79454,0.67273,0.76916,0.46962,1.32436,1.0665,1.39741,0.0002972,0.0002972,0.0002972
45,609.655,0.9845,0.78314,1.11034,0.72979,0.71205,0.78131,0.50313,1.25902,1.05249,1.34738,0.0002576,0.0002576,0.0002576
46,622.302,0.98123,0.77157,1.11434,0.86807,0.6303,0.77975,0.49632,1.28611,1.04216,1.3596,0.000218,0.000218,0.000218
47,634.961,0.98571,0.74114,1.11384,0.78256,0.67616,0.77213,0.49633,1.27344,1.04832,1.35472,0.0001784,0.0001784,0.0001784
48,647.921,0.96809,0.74207,1.11559,0.76077,0.70606,0.77825,0.50066,1.27411,1.04933,1.35234,0.0001388,0.0001388,0.0001388
49,661.236,0.96823,0.7512,1.10797,0.84187,0.64848,0.78058,0.50491,1.27279,1.05244,1.35785,9.92e-05,9.92e-05,9.92e-05
50,674.449,0.93824,0.70965,1.09963,0.78852,0.68924,0.78096,0.50372,1.27747,1.04626,1.365,5.96e-05,5.96e-05,5.96e-05
