epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5863,1.82339,2.82756,1.70265,0.49275,0.46061,0.43965,0.23157,1.49874,2.08699,1.43071,0.0700645,0.00332616,0.00332616
2,84.8983,1.68738,2.06915,1.55672,0.64997,0.51515,0.56092,0.28267,1.57311,1.81373,1.53637,0.0399327,0.00652764,0.00652764
3,124.927,1.68823,1.97928,1.55908,0.65275,0.59242,0.62048,0.31949,1.60714,1.66939,1.53899,0.0096688,0.00959712,0.00959712
4,164.849,1.73273,1.95461,1.59256,0.60292,0.50613,0.55066,0.2797,1.6437,1.74671,1.59322,0.009406,0.009406,0.009406
5,205.435,1.70154,1.91706,1.59368,0.58151,0.54545,0.54757,0.26335,1.62538,1.816,1.55562,0.009208,0.009208,0.009208
6,247.126,1.66867,1.80892,1.56827,0.67048,0.5303,0.59352,0.28903,1.64219,1.78553,1.62993,0.00901,0.00901,0.00901
7,288.374,1.67035,1.76293,1.5655,0.64399,0.57879,0.61745,0.32906,1.55047,1.62827,1.54909,0.008812,0.008812,0.008812
8,329.404,1.61333,1.67753,1.53401,0.74273,0.55991,0.65058,0.34934,1.56408,1.47518,1.54426,0.008614,0.008614,0.008614
9,370.06,1.60417,1.64461,1.51884,0.68578,0.59697,0.66262,0.342,1.57646,1.60808,1.54441,0.008416,0.008416,0.008416
10,410.747,1.56545,1.59406,1.5067,0.70971,0.64545,0.69299,0.38869,1.49913,1.36889,1.50867,0.008218,0.008218,0.008218
11,451.983,1.54962,1.53465,1.49332,0.74269,0.57273,0.65392,0.37935,1.46505,1.4383,1.50454,0.00802,0.00802,0.00802
12,492.994,1.54155,1.51002,1.48284,0.71073,0.58819,0.64871,0.33879,1.54028,1.48494,1.49951,0.007822,0.007822,0.007822
13,533.605,1.5206,1.50591,1.46219,0.73536,0.61818,0.70066,0.40582,1.4374,1.32695,1.45703,0.007624,0.007624,0.007624
14,574.215,1.51789,1.46498,1.46446,0.82263,0.54242,0.66838,0.3628,1.56106,1.40926,1.54082,0.007426,0.007426,0.007426
15,615.251,1.5008,1.43079,1.45487,0.71561,0.62527,0.69057,0.39594,1.45623,1.34408,1.46942,0.007228,0.007228,0.007228
16,656.539,1.46105,1.38709,1.44105,0.77208,0.61212,0.71089,0.41641,1.41798,1.28046,1.47196,0.00703,0.00703,0.00703
17,697.679,1.44678,1.36751,1.42682,0.73715,0.63939,0.70454,0.39855,1.47545,1.28277,1.51021,0.006832,0.006832,0.006832
18,738.686,1.4362,1.34542,1.41181,0.7473,0.64848,0.68533,0.39372,1.4551,1.33585,1.49328,0.006634,0.006634,0.006634
19,779.289,1.43437,1.32767,1.41451,0.74023,0.63939,0.71963,0.42038,1.40341,1.28032,1.43117,0.006436,0.006436,0.006436
20,820.592,1.41677,1.30059,1.40521,0.7675,0.6302,0.70272,0.41966,1.39546,1.22377,1.4538,0.006238,0.006238,0.006238
