epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9974,1.85845,2.85857,1.73807,0.48822,0.41515,0.40338,0.19862,1.57392,2.2041,1.59082,0.0700645,0.00332616,0.00332616
2,98.1467,1.68581,2.05135,1.56693,0.55945,0.51951,0.48447,0.2251,1.56986,2.24981,1.48432,0.0399327,0.00652764,0.00652764
3,139.209,1.714,2.00778,1.57832,0.58225,0.48149,0.51715,0.23533,1.66455,1.82422,1.61263,0.0096688,0.00959712,0.00959712
4,180.569,1.73529,1.95219,1.61707,0.52179,0.47576,0.47334,0.22898,1.63683,1.82391,1.59809,0.009406,0.009406,0.009406
5,222.13,1.72101,1.92605,1.61301,0.6109,0.47576,0.51718,0.26115,1.58084,1.8209,1.57138,0.009208,0.009208,0.009208
6,262.678,1.69297,1.82166,1.58643,0.68817,0.54848,0.61403,0.31003,1.5787,1.68724,1.53304,0.00901,0.00901,0.00901
7,301.328,1.67885,1.75365,1.56764,0.67336,0.5697,0.62204,0.3341,1.50773,1.53647,1.52232,0.008812,0.008812,0.008812
8,341.778,1.63606,1.71818,1.55765,0.7471,0.55503,0.59175,0.31293,1.57875,1.60325,1.56601,0.008614,0.008614,0.008614
9,382.503,1.60745,1.66041,1.52175,0.64387,0.58788,0.61981,0.33848,1.54622,1.48686,1.55769,0.008416,0.008416,0.008416
10,422.772,1.58532,1.59839,1.49676,0.68137,0.57879,0.64312,0.36649,1.46303,1.4544,1.4992,0.008218,0.008218,0.008218
11,464.502,1.56973,1.56355,1.50651,0.72627,0.57879,0.6723,0.38621,1.456,1.37804,1.47704,0.00802,0.00802,0.00802
12,507.55,1.55399,1.53714,1.50411,0.64191,0.61384,0.63118,0.3408,1.47996,1.4548,1.51535,0.007822,0.007822,0.007822
13,548.581,1.53798,1.51911,1.49957,0.74411,0.58485,0.67259,0.37693,1.49256,1.38577,1.52402,0.007624,0.007624,0.007624
14,588.845,1.52244,1.47453,1.47365,0.76815,0.60238,0.69656,0.39797,1.45432,1.32485,1.47514,0.007426,0.007426,0.007426
15,629.893,1.50571,1.44347,1.46061,0.69317,0.65036,0.68718,0.37308,1.54265,1.33819,1.51054,0.007228,0.007228,0.007228
16,669.563,1.46958,1.39683,1.44484,0.77874,0.65152,0.70905,0.39802,1.4808,1.30584,1.46935,0.00703,0.00703,0.00703
17,709.562,1.47748,1.39684,1.45238,0.74722,0.61808,0.68919,0.41098,1.44903,1.29634,1.48234,0.006832,0.006832,0.006832
18,750.427,1.44434,1.32471,1.42513,0.74701,0.63529,0.70031,0.41674,1.45048,1.28849,1.51564,0.006634,0.006634,0.006634
19,791.096,1.44516,1.32029,1.4254,0.68748,0.66667,0.71679,0.41816,1.40684,1.25443,1.42704,0.006436,0.006436,0.006436
20,832.149,1.42366,1.29505,1.39924,0.73752,0.66667,0.73493,0.43065,1.42114,1.24505,1.45217,0.006238,0.006238,0.006238
21,871.348,1.40634,1.26201,1.39036,0.74275,0.64744,0.71821,0.43362,1.37478,1.23889,1.4004,0.00604,0.00604,0.00604
22,913.084,1.39085,1.25775,1.38382,0.77752,0.64601,0.71925,0.4228,1.4195,1.21036,1.44857,0.005842,0.005842,0.005842
23,975.467,1.38093,1.22183,1.37342,0.70859,0.67789,0.73235,0.43106,1.42552,1.18798,1.43876,0.005644,0.005644,0.005644
24,1016.4,1.3627,1.19155,1.36007,0.71222,0.68997,0.72077,0.44045,1.39534,1.20893,1.4428,0.005446,0.005446,0.005446
25,1057.15,1.37656,1.19438,1.36818,0.77433,0.63333,0.70974,0.41576,1.41528,1.22073,1.45545,0.005248,0.005248,0.005248
26,1097.84,1.34981,1.15055,1.3538,0.74659,0.60909,0.69731,0.40945,1.47427,1.22897,1.48802,0.00505,0.00505,0.00505
