epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2836,1.69047,2.65477,1.56223,0.00754,0.47576,0.16758,0.08286,1.64106,3.13659,1.49826,0.00058,0.00058,0.00058
2,18.3626,1.56136,1.96452,1.41941,0.48701,0.19091,0.23507,0.10271,1.85358,2.85043,1.81455,0.00115664,0.00115664,0.00115664
3,24.91,1.62118,1.96507,1.50272,0.23545,0.1697,0.12118,0.05344,1.95907,3.28118,1.9894,0.00170951,0.00170951,0.00170951
4,31.471,1.58044,1.85819,1.47323,0.22484,0.21818,0.1635,0.07405,1.97857,3.05858,2.15245,0.0018812,0.0018812,0.0018812
5,38.3111,1.54983,1.62404,1.4121,0.33742,0.29012,0.2405,0.11975,1.84336,2.77813,1.78346,0.0018416,0.0018416,0.0018416
6,45.3457,1.54225,1.61954,1.40895,0.50676,0.47576,0.48755,0.23834,1.71188,2.10499,1.69261,0.001802,0.001802,0.001802
7,52.1444,1.49114,1.59392,1.39791,0.54791,0.40606,0.42516,0.20766,1.85641,2.00662,1.71666,0.0017624,0.0017624,0.0017624
8,59.0123,1.47826,1.51254,1.36691,0.5238,0.51515,0.5148,0.26461,1.63653,1.7188,1.55653,0.0017228,0.0017228,0.0017228
9,66.0105,1.45242,1.46763,1.36636,0.63201,0.5303,0.54053,0.25905,1.70935,1.75892,1.62036,0.0016832,0.0016832,0.0016832
10,73.0134,1.38729,1.37988,1.34876,0.59664,0.55133,0.57239,0.31915,1.54524,1.65584,1.50159,0.0016436,0.0016436,0.0016436
11,79.5494,1.47326,1.50029,1.44076,0.63277,0.49394,0.58691,0.31939,1.59775,1.56194,1.50848,0.001604,0.001604,0.001604
12,86.1405,1.40545,1.35819,1.34996,0.74688,0.5697,0.64953,0.3639,1.57656,1.49622,1.47148,0.0015644,0.0015644,0.0015644
13,92.7515,1.35023,1.27539,1.29535,0.67403,0.61212,0.66185,0.35783,1.58335,1.40316,1.53357,0.0015248,0.0015248,0.0015248
14,99.3396,1.38454,1.22381,1.29369,0.58002,0.58182,0.60605,0.32751,1.59067,1.47671,1.55826,0.0014852,0.0014852,0.0014852
15,106.146,1.39455,1.24801,1.29602,0.66589,0.5496,0.59386,0.3214,1.62229,1.45932,1.51369,0.0014456,0.0014456,0.0014456
16,112.963,1.37012,1.21108,1.30905,0.66466,0.58485,0.63724,0.36817,1.50797,1.37478,1.40517,0.001406,0.001406,0.001406
17,119.885,1.32736,1.22528,1.29093,0.68937,0.60303,0.66204,0.37909,1.50379,1.54623,1.44866,0.0013664,0.0013664,0.0013664
18,126.728,1.32372,1.16188,1.2743,0.7213,0.65152,0.70948,0.41855,1.43344,1.34812,1.39406,0.0013268,0.0013268,0.0013268
19,133.384,1.30989,1.17864,1.28026,0.70125,0.60303,0.69033,0.38588,1.51663,1.33176,1.44069,0.0012872,0.0012872,0.0012872
20,140.233,1.23951,1.34474,1.20369,0.76538,0.58182,0.70518,0.40532,1.5022,1.28116,1.44769,0.0012476,0.0012476,0.0012476
21,146.913,1.31558,1.14351,1.28489,0.71935,0.62914,0.69794,0.39589,1.50724,1.27974,1.4645,0.001208,0.001208,0.001208
22,153.774,1.29197,1.11556,1.2469,0.75999,0.62727,0.73527,0.41843,1.46298,1.20189,1.40185,0.0011684,0.0011684,0.0011684
23,160.565,1.28058,1.09601,1.2341,0.76351,0.62424,0.72946,0.42739,1.44542,1.20292,1.37804,0.0011288,0.0011288,0.0011288
24,167.46,1.26358,1.0903,1.22269,0.74724,0.65455,0.72193,0.42343,1.41429,1.23094,1.38581,0.0010892,0.0010892,0.0010892
25,173.997,1.24179,1.09929,1.24489,0.78194,0.65758,0.73163,0.43898,1.36554,1.16438,1.35322,0.0010496,0.0010496,0.0010496
26,180.683,1.23149,1.06484,1.22439,0.74219,0.63685,0.70702,0.41044,1.43615,1.23513,1.40172,0.00101,0.00101,0.00101
27,187.201,1.20607,1.00929,1.19536,0.78556,0.60606,0.72742,0.43849,1.37454,1.18511,1.37419,0.0009704,0.0009704,0.0009704
28,194.143,1.22745,1.0272,1.22342,0.75667,0.69091,0.7541,0.44784,1.38836,1.13948,1.39183,0.0009308,0.0009308,0.0009308
29,200.967,1.19404,1.02415,1.20373,0.77519,0.64848,0.72775,0.44965,1.40065,1.14385,1.35958,0.0008912,0.0008912,0.0008912
30,207.852,1.20145,0.96387,1.19987,0.77089,0.64545,0.72058,0.43794,1.41518,1.16998,1.40178,0.0008516,0.0008516,0.0008516
31,214.439,1.16971,0.91849,1.18817,0.7702,0.64242,0.735,0.45228,1.35372,1.1616,1.34459,0.000812,0.000812,0.000812
32,221.334,1.1205,0.88981,1.16419,0.7949,0.66942,0.74278,0.45496,1.40032,1.13023,1.38505,0.0007724,0.0007724,0.0007724
33,228.145,1.14011,0.90262,1.16401,0.76491,0.66364,0.72117,0.42419,1.41156,1.17352,1.3624,0.0007328,0.0007328,0.0007328
34,235.029,1.13459,0.88878,1.16057,0.73837,0.65851,0.73712,0.46415,1.35986,1.0876,1.35533,0.0006932,0.0006932,0.0006932
35,242.023,1.11597,0.86892,1.14426,0.78333,0.68788,0.7555,0.46709,1.34892,1.0802,1.34772,0.0006536,0.0006536,0.0006536
36,248.976,1.1299,0.99408,1.18368,0.80361,0.68485,0.76993,0.47453,1.3558,1.07229,1.33589,0.000614,0.000614,0.000614
37,255.6,1.19621,1.27612,1.17293,0.75082,0.66667,0.74127,0.46781,1.35918,1.10921,1.35671,0.0005744,0.0005744,0.0005744
38,262.213,1.11784,0.88327,1.13832,0.75691,0.69824,0.75504,0.4735,1.36734,1.05151,1.33998,0.0005348,0.0005348,0.0005348
39,269.149,1.08991,0.83641,1.15049,0.75401,0.69091,0.75145,0.4721,1.33708,1.10403,1.32381,0.0004952,0.0004952,0.0004952
